"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
" 31669 (1999 JT6)",20031669,"JPL 215",2.137,0.5776,9.54,0.903,3.37,78.77,39.10,97.39,0.3154,2460291.76,Y,Y
" 35107 (1991 VH)",20035107,"JPL 517",1.137,0.1442,13.91,0.973,1.30,139.34,206.96,100.55,0.8126,2460476.76,Y,Y
" 35396 (1997 XF11)",20035396,"JPL 393",1.442,0.4837,4.10,0.745,2.14,213.65,103.04,272.13,0.5691,2460754.90,Y,Y
" 35670 (1998 SU27)",20035670,"JPL 25",2.122,0.5964,7.14,0.857,3.39,271.33,169.85,130.45,0.3188,2460191.27,Y,N
" 36236 (1999 VV)",20036236,"JPL 251",1.333,0.4238,58.04,0.768,1.90,241.07,19.79,200.50,0.6408,2460849.42,Y,N
" 36284 (2000 DM8)",20036284,"JPL 412",1.484,0.5538,46.76,0.662,2.31,323.15,317.96,128.39,0.545,2460364.89,Y,N
" 37638 (1993 VB)",20037638,"JPL 104",1.913,0.5199,5.08,0.918,2.91,145.56,323.20,236.56,0.3725,2460931.89,Y,Y
" 37655 Illapa (1994 PM)",20037655,"JPL 127",1.478,0.7525,18.03,0.366,2.59,139.52,303.90,254.99,0.5486,2460791.90,Y,Y
" 38086 Beowulf (1999 JB)",20038086,"JPL 210",1.42,0.5661,23.67,0.616,2.22,165.32,178.97,316.82,0.5823,2460674.65,Y,N
" 38239 (1999 OR3)",20038239,"JPL 36",2.036,0.5757,9.40,0.864,3.21,199.79,28.50,269.10,0.3392,2460868.53,Y,N
" 40267 (1999 GJ4)",20040267,"JPL 612",1.339,0.8084,34.48,0.256,2.42,148.21,211.96,36.46,0.6363,2460543.19,Y,N
" 41429 (2000 GE2)",20041429,"JPL 86",1.593,0.5553,2.17,0.708,2.48,351.91,297.20,42.91,0.4903,2460512.99,Y,Y
" 42286 (2001 TN41)",20042286,"JPL 290",1.419,0.3917,24.08,0.863,1.98,55.82,150.95,108.64,0.5829,2460414.14,Y,N
" 52340 (1992 SY)",20052340,"JPL 89",2.212,0.5477,8.08,1.000,3.42,5.24,116.34,218.94,0.2997,2461071.22,Y,N
" 52750 (1998 KK17)",20052750,"JPL 292",1.427,0.5249,11.17,0.678,2.18,141.31,334.15,226.92,0.5783,2460830.64,Y,N
" 52760 (1998 ML14)",20052760,"JPL 155",2.409,0.6233,2.43,0.907,3.91,338.68,20.37,347.09,0.2636,2460649.47,Y,Y
" 52762 (1998 MT24)",20052762,"JPL 218",2.416,0.6530,33.86,0.838,3.99,308.94,254.53,29.20,0.2624,2460489.24,Y,N
" 52768 (1998 OR2)",20052768,"JPL 367",2.38,0.5755,5.88,1.010,3.75,26.94,174.59,81.21,0.2685,2460297.98,Y,Y
" 53319 (1999 JM8)",20053319,"JPL 253",2.724,0.6414,13.84,0.977,4.47,133.62,166.80,228.77,0.2193,2461198.95,Y,Y
" 53409 (1999 LU7)",20053409,"JPL 35",2.101,0.6282,10.88,0.781,3.42,206.68,147.77,84.64,0.3237,2460339.03,Y,N
" 53426 (1999 SL5)",20053426,"JPL 242",1.923,0.5391,22.77,0.886,2.96,239.06,43.36,167.90,0.3696,2460146.17,Y,Y
" 53429 (1999 TF5)",20053429,"JPL 36",2.022,0.6410,26.78,0.726,3.32,199.16,64.09,281.57,0.3429,2460829.24,Y,Y
" 53550 (2000 BF19)",20053550,"JPL 118",1.495,0.4196,7.17,0.868,2.12,313.14,324.95,67.25,0.539,2460475.74,Y,Y
" 53789 (2000 ED104)",20053789,"JPL 239",1.371,0.2692,40.78,1.002,1.74,190.02,218.35,236.89,0.6142,2460800.93,Y,Y
" 54509 YORP (2000 PH5)",20054509,"JPL 88",1.006,0.2300,1.60,0.775,1.24,278.19,279.00,99.36,0.977,2460498.80,Y,N
" 55408 (2001 TC2)",20055408,"JPL 96",1.1,0.2245,30.39,0.853,1.35,193.83,353.55,206.45,0.8545,2460780.19,Y,N
" 55532 (2001 WG2)",20055532,"JPL 164",1.794,0.6957,38.55,0.546,3.04,81.40,132.40,134.29,0.4101,2460273.07,Y,N
" 65690 (1991 DG)",20065690,"JPL 178",1.428,0.3632,11.14,0.909,1.95,180.10,63.37,212.30,0.5777,2460856.18,Y,Y
" 65717 (1993 BX3)",20065717,"JPL 167",1.395,0.2810,2.81,1.003,1.79,174.75,290.95,104.62,0.5979,2460425.54,Y,Y
" 65733 (1993 PC)",20065733,"JPL 203",1.154,0.4743,4.14,0.607,1.70,336.90,168.72,235.98,0.7947,2460756.56,Y,N
" 65803 Didymos (1996 GT)",20065803,"JPL 219",1.643,0.3833,3.41,1.013,2.27,72.99,319.60,339.93,0.4682,2460643.37,Y,Y
" 65909 (1998 FH12)",20065909,"JPL 135",1.091,0.5397,3.56,0.502,1.68,108.59,284.51,196.93,0.8648,2460789.06,Y,Y
" 66008 (1998 QH2)",20066008,"JPL 294",1.426,0.3627,61.00,0.909,1.94,168.93,14.01,270.26,0.5787,2460755.58,Y,N
" 66253 (1999 GT3)",20066253,"JPL 87",1.334,0.8379,19.50,0.216,2.45,157.34,261.13,243.40,0.6396,2460782.80,Y,N
" 67381 (2000 OL8)",20067381,"JPL 56",1.321,0.5430,10.67,0.604,2.04,294.84,266.96,38.01,0.6495,2460541.97,Y,Y
